prefix,vrf,status,scope_type,scope_id,vlan,description
10.9.3.0/24,CORP-VRF,active,dcim.site,,10,Device Management – PH-MNL-BO1
10.9.103.0/24,CORP-VRF,active,dcim.site,,100,Corporate Users – PH-MNL-BO1
10.9.153.0/24,CORP-VRF,active,dcim.site,,110,VoIP / Telephony – PH-MNL-BO1
10.9.173.0/24,CORP-VRF,active,dcim.site,,120,Corporate Wireless – PH-MNL-BO1
10.9.203.0/24,CORP-VRF,active,dcim.site,,200,IoT / Smart Building – PH-MNL-BO1
172.25.3.0/24,GUEST-VRF,active,dcim.site,,1000,Guest WiFi – PH-MNL-BO1
10.9.4.0/24,CORP-VRF,active,dcim.site,,10,Device Management – VN-HAN-BO1
10.9.104.0/24,CORP-VRF,active,dcim.site,,100,Corporate Users – VN-HAN-BO1
10.9.154.0/24,CORP-VRF,active,dcim.site,,110,VoIP / Telephony – VN-HAN-BO1
10.9.174.0/24,CORP-VRF,active,dcim.site,,120,Corporate Wireless – VN-HAN-BO1
10.9.204.0/24,CORP-VRF,active,dcim.site,,200,IoT / Smart Building – VN-HAN-BO1
172.25.4.0/24,GUEST-VRF,active,dcim.site,,1000,Guest WiFi – VN-HAN-BO1
10.11.1.0/24,CORP-VRF,active,dcim.site,,10,Device Management – JP-TYO-DC1
10.11.101.0/24,CORP-VRF,active,dcim.site,,100,Corporate Users – JP-TYO-DC1
10.11.151.0/24,CORP-VRF,active,dcim.site,,110,VoIP / Telephony – JP-TYO-DC1
10.11.171.0/24,CORP-VRF,active,dcim.site,,120,Corporate Wireless – JP-TYO-DC1
10.11.201.0/24,CORP-VRF,active,dcim.site,,200,IoT / Smart Building – JP-TYO-DC1
172.27.1.0/24,GUEST-VRF,active,dcim.site,,1000,Guest WiFi – JP-TYO-DC1
10.11.51.0/24,CORP-VRF,active,dcim.site,,20,Servers / VMs – JP-TYO-DC1
10.11.2.0/24,CORP-VRF,active,dcim.site,,10,Device Management – JP-TYO-BO1
10.11.102.0/24,CORP-VRF,active,dcim.site,,100,Corporate Users – JP-TYO-BO1
10.11.152.0/24,CORP-VRF,active,dcim.site,,110,VoIP / Telephony – JP-TYO-BO1
10.11.172.0/24,CORP-VRF,active,dcim.site,,120,Corporate Wireless – JP-TYO-BO1
10.11.202.0/24,CORP-VRF,active,dcim.site,,200,IoT / Smart Building – JP-TYO-BO1
172.27.2.0/24,GUEST-VRF,active,dcim.site,,1000,Guest WiFi – JP-TYO-BO1
10.11.52.0/24,CORP-VRF,active,dcim.site,,20,Servers / VMs – JP-TYO-BO1
10.11.3.0/24,CORP-VRF,active,dcim.site,,10,Device Management – JP-OSA-BO1
10.11.103.0/24,CORP-VRF,active,dcim.site,,100,Corporate Users – JP-OSA-BO1
10.11.153.0/24,CORP-VRF,active,dcim.site,,110,VoIP / Telephony – JP-OSA-BO1
10.11.173.0/24,CORP-VRF,active,dcim.site,,120,Corporate Wireless – JP-OSA-BO1
10.11.203.0/24,CORP-VRF,active,dcim.site,,200,IoT / Smart Building – JP-OSA-BO1
172.27.3.0/24,GUEST-VRF,active,dcim.site,,1000,Guest WiFi – JP-OSA-BO1
10.11.4.0/24,CORP-VRF,active,dcim.site,,10,Device Management – KR-SEL-BO1
10.11.104.0/24,CORP-VRF,active,dcim.site,,100,Corporate Users – KR-SEL-BO1
10.11.154.0/24,CORP-VRF,active,dcim.site,,110,VoIP / Telephony – KR-SEL-BO1
10.11.174.0/24,CORP-VRF,active,dcim.site,,120,Corporate Wireless – KR-SEL-BO1
10.11.204.0/24,CORP-VRF,active,dcim.site,,200,IoT / Smart Building – KR-SEL-BO1
172.27.4.0/24,GUEST-VRF,active,dcim.site,,1000,Guest WiFi – KR-SEL-BO1
10.12.1.0/24,CORP-VRF,active,dcim.site,,10,Device Management – IN-DEL-BO1
10.12.101.0/24,CORP-VRF,active,dcim.site,,100,Corporate Users – IN-DEL-BO1
10.12.151.0/24,CORP-VRF,active,dcim.site,,110,VoIP / Telephony – IN-DEL-BO1
10.12.171.0/24,CORP-VRF,active,dcim.site,,120,Corporate Wireless – IN-DEL-BO1
10.12.201.0/24,CORP-VRF,active,dcim.site,,200,IoT / Smart Building – IN-DEL-BO1
172.28.1.0/24,GUEST-VRF,active,dcim.site,,1000,Guest WiFi – IN-DEL-BO1
10.12.2.0/24,CORP-VRF,active,dcim.site,,10,Device Management – IN-HYD-BO1
10.12.102.0/24,CORP-VRF,active,dcim.site,,100,Corporate Users – IN-HYD-BO1
10.12.152.0/24,CORP-VRF,active,dcim.site,,110,VoIP / Telephony – IN-HYD-BO1
10.12.172.0/24,CORP-VRF,active,dcim.site,,120,Corporate Wireless – IN-HYD-BO1
10.12.202.0/24,CORP-VRF,active,dcim.site,,200,IoT / Smart Building – IN-HYD-BO1
172.28.2.0/24,GUEST-VRF,active,dcim.site,,1000,Guest WiFi – IN-HYD-BO1
10.12.3.0/24,CORP-VRF,active,dcim.site,,10,Device Management – IN-CHE-BO1
10.12.103.0/24,CORP-VRF,active,dcim.site,,100,Corporate Users – IN-CHE-BO1
10.12.153.0/24,CORP-VRF,active,dcim.site,,110,VoIP / Telephony – IN-CHE-BO1
10.12.173.0/24,CORP-VRF,active,dcim.site,,120,Corporate Wireless – IN-CHE-BO1
10.12.203.0/24,CORP-VRF,active,dcim.site,,200,IoT / Smart Building – IN-CHE-BO1
172.28.3.0/24,GUEST-VRF,active,dcim.site,,1000,Guest WiFi – IN-CHE-BO1
10.12.4.0/24,CORP-VRF,active,dcim.site,,10,Device Management – IN-PUN-BO1
10.12.104.0/24,CORP-VRF,active,dcim.site,,100,Corporate Users – IN-PUN-BO1
10.12.154.0/24,CORP-VRF,active,dcim.site,,110,VoIP / Telephony – IN-PUN-BO1
10.12.174.0/24,CORP-VRF,active,dcim.site,,120,Corporate Wireless – IN-PUN-BO1
10.12.204.0/24,CORP-VRF,active,dcim.site,,200,IoT / Smart Building – IN-PUN-BO1
172.28.4.0/24,GUEST-VRF,active,dcim.site,,1000,Guest WiFi – IN-PUN-BO1
10.12.5.0/24,CORP-VRF,active,dcim.site,,10,Device Management – PK-KHI-BO1
10.12.105.0/24,CORP-VRF,active,dcim.site,,100,Corporate Users – PK-KHI-BO1
10.12.155.0/24,CORP-VRF,active,dcim.site,,110,VoIP / Telephony – PK-KHI-BO1
10.12.175.0/24,CORP-VRF,active,dcim.site,,120,Corporate Wireless – PK-KHI-BO1
10.12.205.0/24,CORP-VRF,active,dcim.site,,200,IoT / Smart Building – PK-KHI-BO1
172.28.5.0/24,GUEST-VRF,active,dcim.site,,1000,Guest WiFi – PK-KHI-BO1
10.13.1.0/24,CORP-VRF,active,dcim.site,,10,Device Management – NZ-AKL-BO1
10.13.101.0/24,CORP-VRF,active,dcim.site,,100,Corporate Users – NZ-AKL-BO1
10.13.151.0/24,CORP-VRF,active,dcim.site,,110,VoIP / Telephony – NZ-AKL-BO1
10.13.171.0/24,CORP-VRF,active,dcim.site,,120,Corporate Wireless – NZ-AKL-BO1
10.13.201.0/24,CORP-VRF,active,dcim.site,,200,IoT / Smart Building – NZ-AKL-BO1
172.29.1.0/24,GUEST-VRF,active,dcim.site,,1000,Guest WiFi – NZ-AKL-BO1
