name,vid,group,role,description,status
GUEST-EG-CAI-BO1,1000,EG-CAI-BO1-VLANS,Guest-Data,Guest WiFi – Internet Only – EG-CAI-BO1,active
DEVICE-MGMT-ZA-JNB-DC1,10,ZA-JNB-DC1-VLANS,Infrastructure,Device Management – ZA-JNB-DC1,active
USERS-ZA-JNB-DC1,100,ZA-JNB-DC1-VLANS,User-Data,Corporate User Access – ZA-JNB-DC1,active
VOICE-ZA-JNB-DC1,110,ZA-JNB-DC1-VLANS,Voice,IP Telephony – ZA-JNB-DC1,active
USR-WIFI-ZA-JNB-DC1,120,ZA-JNB-DC1-VLANS,User-Data,Corporate Wireless Data – ZA-JNB-DC1,active
IOT-ZA-JNB-DC1,200,ZA-JNB-DC1-VLANS,IoT,Smart Building and IoT – ZA-JNB-DC1,active
GUEST-ZA-JNB-DC1,1000,ZA-JNB-DC1-VLANS,Guest-Data,Guest WiFi – Internet Only – ZA-JNB-DC1,active
VM-SERVERS-ZA-JNB-DC1,20,ZA-JNB-DC1-VLANS,Servers,VM and Server Network – ZA-JNB-DC1,active
DEVICE-MGMT-NG-LOS-BO1,10,NG-LOS-BO1-VLANS,Infrastructure,Device Management – NG-LOS-BO1,active
USERS-NG-LOS-BO1,100,NG-LOS-BO1-VLANS,User-Data,Corporate User Access – NG-LOS-BO1,active
VOICE-NG-LOS-BO1,110,NG-LOS-BO1-VLANS,Voice,IP Telephony – NG-LOS-BO1,active
USR-WIFI-NG-LOS-BO1,120,NG-LOS-BO1-VLANS,User-Data,Corporate Wireless Data – NG-LOS-BO1,active
IOT-NG-LOS-BO1,200,NG-LOS-BO1-VLANS,IoT,Smart Building and IoT – NG-LOS-BO1,active
GUEST-NG-LOS-BO1,1000,NG-LOS-BO1-VLANS,Guest-Data,Guest WiFi – Internet Only – NG-LOS-BO1,active
DEVICE-MGMT-KE-NBO-BO1,10,KE-NBO-BO1-VLANS,Infrastructure,Device Management – KE-NBO-BO1,active
USERS-KE-NBO-BO1,100,KE-NBO-BO1-VLANS,User-Data,Corporate User Access – KE-NBO-BO1,active
VOICE-KE-NBO-BO1,110,KE-NBO-BO1-VLANS,Voice,IP Telephony – KE-NBO-BO1,active
USR-WIFI-KE-NBO-BO1,120,KE-NBO-BO1-VLANS,User-Data,Corporate Wireless Data – KE-NBO-BO1,active
IOT-KE-NBO-BO1,200,KE-NBO-BO1-VLANS,IoT,Smart Building and IoT – KE-NBO-BO1,active
GUEST-KE-NBO-BO1,1000,KE-NBO-BO1-VLANS,Guest-Data,Guest WiFi – Internet Only – KE-NBO-BO1,active
DEVICE-MGMT-HK-HKG-DC1,10,HK-HKG-DC1-VLANS,Infrastructure,Device Management – HK-HKG-DC1,active
USERS-HK-HKG-DC1,100,HK-HKG-DC1-VLANS,User-Data,Corporate User Access – HK-HKG-DC1,active
VOICE-HK-HKG-DC1,110,HK-HKG-DC1-VLANS,Voice,IP Telephony – HK-HKG-DC1,active
USR-WIFI-HK-HKG-DC1,120,HK-HKG-DC1-VLANS,User-Data,Corporate Wireless Data – HK-HKG-DC1,active
IOT-HK-HKG-DC1,200,HK-HKG-DC1-VLANS,IoT,Smart Building and IoT – HK-HKG-DC1,active
GUEST-HK-HKG-DC1,1000,HK-HKG-DC1-VLANS,Guest-Data,Guest WiFi – Internet Only – HK-HKG-DC1,active
VM-SERVERS-HK-HKG-DC1,20,HK-HKG-DC1-VLANS,Servers,VM and Server Network – HK-HKG-DC1,active
DEVICE-MGMT-HK-HKG-BO1,10,HK-HKG-BO1-VLANS,Infrastructure,Device Management – HK-HKG-BO1,active
USERS-HK-HKG-BO1,100,HK-HKG-BO1-VLANS,User-Data,Corporate User Access – HK-HKG-BO1,active
VOICE-HK-HKG-BO1,110,HK-HKG-BO1-VLANS,Voice,IP Telephony – HK-HKG-BO1,active
USR-WIFI-HK-HKG-BO1,120,HK-HKG-BO1-VLANS,User-Data,Corporate Wireless Data – HK-HKG-BO1,active
IOT-HK-HKG-BO1,200,HK-HKG-BO1-VLANS,IoT,Smart Building and IoT – HK-HKG-BO1,active
GUEST-HK-HKG-BO1,1000,HK-HKG-BO1-VLANS,Guest-Data,Guest WiFi – Internet Only – HK-HKG-BO1,active
DEVICE-MGMT-CN-SHA-BO1,10,CN-SHA-BO1-VLANS,Infrastructure,Device Management – CN-SHA-BO1,active
USERS-CN-SHA-BO1,100,CN-SHA-BO1-VLANS,User-Data,Corporate User Access – CN-SHA-BO1,active
VOICE-CN-SHA-BO1,110,CN-SHA-BO1-VLANS,Voice,IP Telephony – CN-SHA-BO1,active
USR-WIFI-CN-SHA-BO1,120,CN-SHA-BO1-VLANS,User-Data,Corporate Wireless Data – CN-SHA-BO1,active
IOT-CN-SHA-BO1,200,CN-SHA-BO1-VLANS,IoT,Smart Building and IoT – CN-SHA-BO1,active
GUEST-CN-SHA-BO1,1000,CN-SHA-BO1-VLANS,Guest-Data,Guest WiFi – Internet Only – CN-SHA-BO1,active
DEVICE-MGMT-CN-BEJ-BO1,10,CN-BEJ-BO1-VLANS,Infrastructure,Device Management – CN-BEJ-BO1,active
USERS-CN-BEJ-BO1,100,CN-BEJ-BO1-VLANS,User-Data,Corporate User Access – CN-BEJ-BO1,active
VOICE-CN-BEJ-BO1,110,CN-BEJ-BO1-VLANS,Voice,IP Telephony – CN-BEJ-BO1,active
USR-WIFI-CN-BEJ-BO1,120,CN-BEJ-BO1-VLANS,User-Data,Corporate Wireless Data – CN-BEJ-BO1,active
IOT-CN-BEJ-BO1,200,CN-BEJ-BO1-VLANS,IoT,Smart Building and IoT – CN-BEJ-BO1,active
GUEST-CN-BEJ-BO1,1000,CN-BEJ-BO1-VLANS,Guest-Data,Guest WiFi – Internet Only – CN-BEJ-BO1,active
DEVICE-MGMT-TW-TPE-BO1,10,TW-TPE-BO1-VLANS,Infrastructure,Device Management – TW-TPE-BO1,active
USERS-TW-TPE-BO1,100,TW-TPE-BO1-VLANS,User-Data,Corporate User Access – TW-TPE-BO1,active
VOICE-TW-TPE-BO1,110,TW-TPE-BO1-VLANS,Voice,IP Telephony – TW-TPE-BO1,active
USR-WIFI-TW-TPE-BO1,120,TW-TPE-BO1-VLANS,User-Data,Corporate Wireless Data – TW-TPE-BO1,active
IOT-TW-TPE-BO1,200,TW-TPE-BO1-VLANS,IoT,Smart Building and IoT – TW-TPE-BO1,active
GUEST-TW-TPE-BO1,1000,TW-TPE-BO1-VLANS,Guest-Data,Guest WiFi – Internet Only – TW-TPE-BO1,active
DEVICE-MGMT-TH-BKK-BO1,10,TH-BKK-BO1-VLANS,Infrastructure,Device Management – TH-BKK-BO1,active
USERS-TH-BKK-BO1,100,TH-BKK-BO1-VLANS,User-Data,Corporate User Access – TH-BKK-BO1,active
VOICE-TH-BKK-BO1,110,TH-BKK-BO1-VLANS,Voice,IP Telephony – TH-BKK-BO1,active
USR-WIFI-TH-BKK-BO1,120,TH-BKK-BO1-VLANS,User-Data,Corporate Wireless Data – TH-BKK-BO1,active
IOT-TH-BKK-BO1,200,TH-BKK-BO1-VLANS,IoT,Smart Building and IoT – TH-BKK-BO1,active
GUEST-TH-BKK-BO1,1000,TH-BKK-BO1-VLANS,Guest-Data,Guest WiFi – Internet Only – TH-BKK-BO1,active
DEVICE-MGMT-ID-JKT-BO1,10,ID-JKT-BO1-VLANS,Infrastructure,Device Management – ID-JKT-BO1,active
USERS-ID-JKT-BO1,100,ID-JKT-BO1-VLANS,User-Data,Corporate User Access – ID-JKT-BO1,active
VOICE-ID-JKT-BO1,110,ID-JKT-BO1-VLANS,Voice,IP Telephony – ID-JKT-BO1,active
USR-WIFI-ID-JKT-BO1,120,ID-JKT-BO1-VLANS,User-Data,Corporate Wireless Data – ID-JKT-BO1,active
IOT-ID-JKT-BO1,200,ID-JKT-BO1-VLANS,IoT,Smart Building and IoT – ID-JKT-BO1,active
GUEST-ID-JKT-BO1,1000,ID-JKT-BO1-VLANS,Guest-Data,Guest WiFi – Internet Only – ID-JKT-BO1,active
DEVICE-MGMT-PH-MNL-BO1,10,PH-MNL-BO1-VLANS,Infrastructure,Device Management – PH-MNL-BO1,active
USERS-PH-MNL-BO1,100,PH-MNL-BO1-VLANS,User-Data,Corporate User Access – PH-MNL-BO1,active
VOICE-PH-MNL-BO1,110,PH-MNL-BO1-VLANS,Voice,IP Telephony – PH-MNL-BO1,active
USR-WIFI-PH-MNL-BO1,120,PH-MNL-BO1-VLANS,User-Data,Corporate Wireless Data – PH-MNL-BO1,active
IOT-PH-MNL-BO1,200,PH-MNL-BO1-VLANS,IoT,Smart Building and IoT – PH-MNL-BO1,active
GUEST-PH-MNL-BO1,1000,PH-MNL-BO1-VLANS,Guest-Data,Guest WiFi – Internet Only – PH-MNL-BO1,active
DEVICE-MGMT-VN-HAN-BO1,10,VN-HAN-BO1-VLANS,Infrastructure,Device Management – VN-HAN-BO1,active
USERS-VN-HAN-BO1,100,VN-HAN-BO1-VLANS,User-Data,Corporate User Access – VN-HAN-BO1,active
VOICE-VN-HAN-BO1,110,VN-HAN-BO1-VLANS,Voice,IP Telephony – VN-HAN-BO1,active
USR-WIFI-VN-HAN-BO1,120,VN-HAN-BO1-VLANS,User-Data,Corporate Wireless Data – VN-HAN-BO1,active
IOT-VN-HAN-BO1,200,VN-HAN-BO1-VLANS,IoT,Smart Building and IoT – VN-HAN-BO1,active
GUEST-VN-HAN-BO1,1000,VN-HAN-BO1-VLANS,Guest-Data,Guest WiFi – Internet Only – VN-HAN-BO1,active
DEVICE-MGMT-JP-TYO-DC1,10,JP-TYO-DC1-VLANS,Infrastructure,Device Management – JP-TYO-DC1,active
USERS-JP-TYO-DC1,100,JP-TYO-DC1-VLANS,User-Data,Corporate User Access – JP-TYO-DC1,active
VOICE-JP-TYO-DC1,110,JP-TYO-DC1-VLANS,Voice,IP Telephony – JP-TYO-DC1,active
USR-WIFI-JP-TYO-DC1,120,JP-TYO-DC1-VLANS,User-Data,Corporate Wireless Data – JP-TYO-DC1,active
IOT-JP-TYO-DC1,200,JP-TYO-DC1-VLANS,IoT,Smart Building and IoT – JP-TYO-DC1,active
GUEST-JP-TYO-DC1,1000,JP-TYO-DC1-VLANS,Guest-Data,Guest WiFi – Internet Only – JP-TYO-DC1,active
VM-SERVERS-JP-TYO-DC1,20,JP-TYO-DC1-VLANS,Servers,VM and Server Network – JP-TYO-DC1,active
DEVICE-MGMT-JP-TYO-BO1,10,JP-TYO-BO1-VLANS,Infrastructure,Device Management – JP-TYO-BO1,active
USERS-JP-TYO-BO1,100,JP-TYO-BO1-VLANS,User-Data,Corporate User Access – JP-TYO-BO1,active
VOICE-JP-TYO-BO1,110,JP-TYO-BO1-VLANS,Voice,IP Telephony – JP-TYO-BO1,active
USR-WIFI-JP-TYO-BO1,120,JP-TYO-BO1-VLANS,User-Data,Corporate Wireless Data – JP-TYO-BO1,active
IOT-JP-TYO-BO1,200,JP-TYO-BO1-VLANS,IoT,Smart Building and IoT – JP-TYO-BO1,active
GUEST-JP-TYO-BO1,1000,JP-TYO-BO1-VLANS,Guest-Data,Guest WiFi – Internet Only – JP-TYO-BO1,active
VM-SERVERS-JP-TYO-BO1,20,JP-TYO-BO1-VLANS,Servers,VM and Server Network – JP-TYO-BO1,active
DEVICE-MGMT-JP-OSA-BO1,10,JP-OSA-BO1-VLANS,Infrastructure,Device Management – JP-OSA-BO1,active
USERS-JP-OSA-BO1,100,JP-OSA-BO1-VLANS,User-Data,Corporate User Access – JP-OSA-BO1,active
VOICE-JP-OSA-BO1,110,JP-OSA-BO1-VLANS,Voice,IP Telephony – JP-OSA-BO1,active
USR-WIFI-JP-OSA-BO1,120,JP-OSA-BO1-VLANS,User-Data,Corporate Wireless Data – JP-OSA-BO1,active
IOT-JP-OSA-BO1,200,JP-OSA-BO1-VLANS,IoT,Smart Building and IoT – JP-OSA-BO1,active
GUEST-JP-OSA-BO1,1000,JP-OSA-BO1-VLANS,Guest-Data,Guest WiFi – Internet Only – JP-OSA-BO1,active
DEVICE-MGMT-KR-SEL-BO1,10,KR-SEL-BO1-VLANS,Infrastructure,Device Management – KR-SEL-BO1,active
USERS-KR-SEL-BO1,100,KR-SEL-BO1-VLANS,User-Data,Corporate User Access – KR-SEL-BO1,active
VOICE-KR-SEL-BO1,110,KR-SEL-BO1-VLANS,Voice,IP Telephony – KR-SEL-BO1,active
USR-WIFI-KR-SEL-BO1,120,KR-SEL-BO1-VLANS,User-Data,Corporate Wireless Data – KR-SEL-BO1,active
IOT-KR-SEL-BO1,200,KR-SEL-BO1-VLANS,IoT,Smart Building and IoT – KR-SEL-BO1,active
GUEST-KR-SEL-BO1,1000,KR-SEL-BO1-VLANS,Guest-Data,Guest WiFi – Internet Only – KR-SEL-BO1,active
DEVICE-MGMT-IN-DEL-BO1,10,IN-DEL-BO1-VLANS,Infrastructure,Device Management – IN-DEL-BO1,active
USERS-IN-DEL-BO1,100,IN-DEL-BO1-VLANS,User-Data,Corporate User Access – IN-DEL-BO1,active
VOICE-IN-DEL-BO1,110,IN-DEL-BO1-VLANS,Voice,IP Telephony – IN-DEL-BO1,active
USR-WIFI-IN-DEL-BO1,120,IN-DEL-BO1-VLANS,User-Data,Corporate Wireless Data – IN-DEL-BO1,active
IOT-IN-DEL-BO1,200,IN-DEL-BO1-VLANS,IoT,Smart Building and IoT – IN-DEL-BO1,active
GUEST-IN-DEL-BO1,1000,IN-DEL-BO1-VLANS,Guest-Data,Guest WiFi – Internet Only – IN-DEL-BO1,active
DEVICE-MGMT-IN-HYD-BO1,10,IN-HYD-BO1-VLANS,Infrastructure,Device Management – IN-HYD-BO1,active
USERS-IN-HYD-BO1,100,IN-HYD-BO1-VLANS,User-Data,Corporate User Access – IN-HYD-BO1,active
VOICE-IN-HYD-BO1,110,IN-HYD-BO1-VLANS,Voice,IP Telephony – IN-HYD-BO1,active
USR-WIFI-IN-HYD-BO1,120,IN-HYD-BO1-VLANS,User-Data,Corporate Wireless Data – IN-HYD-BO1,active
IOT-IN-HYD-BO1,200,IN-HYD-BO1-VLANS,IoT,Smart Building and IoT – IN-HYD-BO1,active
GUEST-IN-HYD-BO1,1000,IN-HYD-BO1-VLANS,Guest-Data,Guest WiFi – Internet Only – IN-HYD-BO1,active
DEVICE-MGMT-IN-CHE-BO1,10,IN-CHE-BO1-VLANS,Infrastructure,Device Management – IN-CHE-BO1,active
USERS-IN-CHE-BO1,100,IN-CHE-BO1-VLANS,User-Data,Corporate User Access – IN-CHE-BO1,active
VOICE-IN-CHE-BO1,110,IN-CHE-BO1-VLANS,Voice,IP Telephony – IN-CHE-BO1,active
USR-WIFI-IN-CHE-BO1,120,IN-CHE-BO1-VLANS,User-Data,Corporate Wireless Data – IN-CHE-BO1,active
IOT-IN-CHE-BO1,200,IN-CHE-BO1-VLANS,IoT,Smart Building and IoT – IN-CHE-BO1,active
GUEST-IN-CHE-BO1,1000,IN-CHE-BO1-VLANS,Guest-Data,Guest WiFi – Internet Only – IN-CHE-BO1,active
DEVICE-MGMT-IN-PUN-BO1,10,IN-PUN-BO1-VLANS,Infrastructure,Device Management – IN-PUN-BO1,active
USERS-IN-PUN-BO1,100,IN-PUN-BO1-VLANS,User-Data,Corporate User Access – IN-PUN-BO1,active
VOICE-IN-PUN-BO1,110,IN-PUN-BO1-VLANS,Voice,IP Telephony – IN-PUN-BO1,active
USR-WIFI-IN-PUN-BO1,120,IN-PUN-BO1-VLANS,User-Data,Corporate Wireless Data – IN-PUN-BO1,active
IOT-IN-PUN-BO1,200,IN-PUN-BO1-VLANS,IoT,Smart Building and IoT – IN-PUN-BO1,active
GUEST-IN-PUN-BO1,1000,IN-PUN-BO1-VLANS,Guest-Data,Guest WiFi – Internet Only – IN-PUN-BO1,active
DEVICE-MGMT-PK-KHI-BO1,10,PK-KHI-BO1-VLANS,Infrastructure,Device Management – PK-KHI-BO1,active
USERS-PK-KHI-BO1,100,PK-KHI-BO1-VLANS,User-Data,Corporate User Access – PK-KHI-BO1,active
VOICE-PK-KHI-BO1,110,PK-KHI-BO1-VLANS,Voice,IP Telephony – PK-KHI-BO1,active
USR-WIFI-PK-KHI-BO1,120,PK-KHI-BO1-VLANS,User-Data,Corporate Wireless Data – PK-KHI-BO1,active
IOT-PK-KHI-BO1,200,PK-KHI-BO1-VLANS,IoT,Smart Building and IoT – PK-KHI-BO1,active
GUEST-PK-KHI-BO1,1000,PK-KHI-BO1-VLANS,Guest-Data,Guest WiFi – Internet Only – PK-KHI-BO1,active
DEVICE-MGMT-NZ-AKL-BO1,10,NZ-AKL-BO1-VLANS,Infrastructure,Device Management – NZ-AKL-BO1,active
USERS-NZ-AKL-BO1,100,NZ-AKL-BO1-VLANS,User-Data,Corporate User Access – NZ-AKL-BO1,active
VOICE-NZ-AKL-BO1,110,NZ-AKL-BO1-VLANS,Voice,IP Telephony – NZ-AKL-BO1,active
USR-WIFI-NZ-AKL-BO1,120,NZ-AKL-BO1-VLANS,User-Data,Corporate Wireless Data – NZ-AKL-BO1,active
IOT-NZ-AKL-BO1,200,NZ-AKL-BO1-VLANS,IoT,Smart Building and IoT – NZ-AKL-BO1,active
GUEST-NZ-AKL-BO1,1000,NZ-AKL-BO1-VLANS,Guest-Data,Guest WiFi – Internet Only – NZ-AKL-BO1,active
