site,name,status,location,tenant,role,rack_type
JP-TYO-DC1,RK-JP-TYO-DC1-SRV-04,active,Data Hall 02,IT Operations,Compute,NetShelter SX
JP-TYO-DC1,RK-JP-TYO-DC1-CORE-01,active,MDF - Network Room,IT Operations,Core Networking,Net-Access N-Type
JP-TYO-DC1,RK-JP-TYO-DC1-CORE-02,active,MDF - Network Room,IT Operations,Core Networking,Net-Access N-Type
JP-TYO-DC1,RK-JP-TYO-DC1-NET-01,active,Meet-Me Room (MMR),IT Operations,Core Networking,Net-Access N-Type
JP-TYO-DC1,RK-JP-TYO-DC1-STG-01,active,Staging Area,IT Operations,Staging,Net-Access S-Type
JP-TYO-BO1,RK-JP-TYO-BO1-SRV-01,active,MDF - Server Room,IT Operations,Compute,NetShelter SX
JP-TYO-BO1,RK-JP-TYO-BO1-ACC-01,active,IDF 01 - Network Closet,IT Operations,Edge/Access,NetShelter Wallmount
JP-TYO-BO1,RK-JP-TYO-BO1-ACC-02,active,IDF 02 - Network Closet,IT Operations,Edge/Access,NetShelter Wallmount
JP-TYO-BO1,RK-JP-TYO-BO1-ACC-03,active,Floor 01,IT Operations,Edge/Access,NetShelter Wallmount
JP-TYO-BO1,RK-JP-TYO-BO1-ACC-04,active,Floor 02,IT Operations,Edge/Access,NetShelter Wallmount
JP-TYO-BO1,RK-JP-TYO-BO1-ACC-05,active,Floor 03,IT Operations,Edge/Access,NetShelter Wallmount
JP-OSA-BO1,RK-JP-OSA-BO1-SRV-01,active,MDF - Server Room,IT Operations,Compute,NetShelter SX
JP-OSA-BO1,RK-JP-OSA-BO1-ACC-01,active,IDF 01 - Network Closet,IT Operations,Edge/Access,NetShelter Wallmount
JP-OSA-BO1,RK-JP-OSA-BO1-ACC-02,active,Floor 01,IT Operations,Edge/Access,NetShelter Wallmount
JP-OSA-BO1,RK-JP-OSA-BO1-ACC-03,active,Floor 02,IT Operations,Edge/Access,NetShelter Wallmount
KR-SEL-BO1,RK-KR-SEL-BO1-SRV-01,active,MDF - Server Room,IT Operations,Compute,NetShelter SX
KR-SEL-BO1,RK-KR-SEL-BO1-ACC-01,active,IDF 01 - Network Closet,IT Operations,Edge/Access,NetShelter Wallmount
KR-SEL-BO1,RK-KR-SEL-BO1-ACC-02,active,Floor 01,IT Operations,Edge/Access,NetShelter Wallmount
KR-SEL-BO1,RK-KR-SEL-BO1-ACC-03,active,Floor 02,IT Operations,Edge/Access,NetShelter Wallmount
IN-DEL-BO1,RK-IN-DEL-BO1-SRV-01,active,MDF - Server Room,IT Operations,Compute,NetShelter SX
IN-DEL-BO1,RK-IN-DEL-BO1-ACC-01,active,IDF 01 - Network Closet,IT Operations,Edge/Access,NetShelter Wallmount
IN-DEL-BO1,RK-IN-DEL-BO1-ACC-02,active,Floor 01,IT Operations,Edge/Access,NetShelter Wallmount
IN-DEL-BO1,RK-IN-DEL-BO1-ACC-03,active,Floor 02,IT Operations,Edge/Access,NetShelter Wallmount
IN-HYD-BO1,RK-IN-HYD-BO1-SRV-01,active,MDF - Server Room,IT Operations,Compute,NetShelter SX
IN-HYD-BO1,RK-IN-HYD-BO1-ACC-01,active,IDF 01 - Network Closet,IT Operations,Edge/Access,NetShelter Wallmount
IN-HYD-BO1,RK-IN-HYD-BO1-ACC-02,active,Floor 01,IT Operations,Edge/Access,NetShelter Wallmount
IN-HYD-BO1,RK-IN-HYD-BO1-ACC-03,active,Floor 02,IT Operations,Edge/Access,NetShelter Wallmount
IN-CHE-BO1,RK-IN-CHE-BO1-SRV-01,active,MDF - Server Room,IT Operations,Compute,NetShelter SX
IN-CHE-BO1,RK-IN-CHE-BO1-ACC-01,active,IDF 01 - Network Closet,IT Operations,Edge/Access,NetShelter Wallmount
IN-CHE-BO1,RK-IN-CHE-BO1-ACC-02,active,Floor 01,IT Operations,Edge/Access,NetShelter Wallmount
IN-CHE-BO1,RK-IN-CHE-BO1-ACC-03,active,Floor 02,IT Operations,Edge/Access,NetShelter Wallmount
IN-PUN-BO1,RK-IN-PUN-BO1-SRV-01,active,MDF - Server Room,IT Operations,Compute,NetShelter SX
IN-PUN-BO1,RK-IN-PUN-BO1-ACC-01,active,IDF 01 - Network Closet,IT Operations,Edge/Access,NetShelter Wallmount
IN-PUN-BO1,RK-IN-PUN-BO1-ACC-02,active,Floor 01,IT Operations,Edge/Access,NetShelter Wallmount
IN-PUN-BO1,RK-IN-PUN-BO1-ACC-03,active,Floor 02,IT Operations,Edge/Access,NetShelter Wallmount
PK-KHI-BO1,RK-PK-KHI-BO1-SRV-01,active,MDF - Server Room,IT Operations,Compute,NetShelter SX
PK-KHI-BO1,RK-PK-KHI-BO1-ACC-01,active,IDF 01 - Network Closet,IT Operations,Edge/Access,NetShelter Wallmount
PK-KHI-BO1,RK-PK-KHI-BO1-ACC-02,active,Floor 01,IT Operations,Edge/Access,NetShelter Wallmount
PK-KHI-BO1,RK-PK-KHI-BO1-ACC-03,active,Floor 02,IT Operations,Edge/Access,NetShelter Wallmount
NZ-AKL-BO1,RK-NZ-AKL-BO1-SRV-01,active,MDF - Server Room,IT Operations,Compute,NetShelter SX
NZ-AKL-BO1,RK-NZ-AKL-BO1-ACC-01,active,IDF 01 - Network Closet,IT Operations,Edge/Access,NetShelter Wallmount
NZ-AKL-BO1,RK-NZ-AKL-BO1-ACC-02,active,Floor 01,IT Operations,Edge/Access,NetShelter Wallmount
NZ-AKL-BO1,RK-NZ-AKL-BO1-ACC-03,active,Floor 02,IT Operations,Edge/Access,NetShelter Wallmount
